Alumni Employment,Broad Impact,Citations,Country,Influence,institution,National Rank,Patents,Publications,Quality Of Education,Quality Of Faculty,Score,world_rank,Latitude,Longitude
187,590,511,USA,422,City College of New York,111,358,680,31,218,46.12,289,44.66584,-74.99655
215,74,59,USA,106,Case Western Reserve University,57,111,137,50,195,50.28,105,40.79585,-73.84099
160,150,78,USA,225,Carnegie Mellon University,39,165,211,25,23,54,61,47.19729,-122.52482
328,25,19,USA,9,California Institute of Technology,10,13,53,6,7,84.4,12,40.63005,-78.6502
43,99,76,USA,67,Brown University,50,200,121,64,73,52.01,83,40.7708,-73.19618
361,424,287,USA,424,Brigham Young University,137,134,498,298,218,45.15,403,34.12708,-93.05871
342,330,428,USA,195,Brandeis University,107,249,549,51,78,46.29,274,21.64082,-157.92607
373,781,645,USA,705,Bowling Green State University,213,824,910,367,218,44.23,809,27.39158,-82.49768
54,34,37,USA,45,Boston University,41,135,60,303,83,53.43,66,41.37452,-83.61744
97,402,197,USA,363,Boston College,120,386,557,367,218,45.65,326,42.35107,-71.11088
263,671,812,USA,593,Binghamton University,188,853,710,367,218,44.43,647,26.3165,-98.19769
293,540,321,USA,681,Baylor University,172,630,682,367,218,44.59,567,42.08349,-75.96068
567,44,101,USA,41,Baylor College of Medicine,62,199,113,367,218,49.7,121,31.06888,-97.46538
232,606,368,USA,569,Auburn University,167,425,472,367,218,44.63,549,30.3191,-96.35337
455,140,76,USA,85,Arizona State University,55,21,143,367,66,51.13,97,32.601002,-85.488197
567,579,645,USA,771,Albany Medical College,189,720,893,171,218,44.43,650,33.42385,-111.92762
567,809,812,Uruguay,669,University of the Republic (Uruguay),66,871,814,367,218,44.16,867,33.55782,-117.66407
567,300,161,United Kingdom,205,University of York,29,406,270,367,218,45.69,325,32.0335,-81.0822
444,308,161,United Kingdom,239,University of Warwick,27,234,205,210,116,46.05,293,53.94835,-1.05076
567,754,645,United Kingdom,927,"University of Wales, Trinity Saint David",62,871,1000,367,218,44.2,830,52.32196,-1.70412
567,732,321,United Kingdom,808,University of Ulster,50,240,747,367,218,44.38,683,51.48353,-3.14835
257,308,161,United Kingdom,250,University of Sussex,22,553,359,151,57,46.49,253,56.14645,-3.92436
295,549,428,United Kingdom,553,University of Surrey,39,300,419,217,218,44.7,525,50.8636,-0.09014
216,486,368,United Kingdom,467,University of Strathclyde,36,305,389,367,218,44.94,453,34.21811,-77.8507
357,754,812,United Kingdom,707,University of Stirling,58,871,772,367,218,44.26,784,56.14645,-3.92436
506,281,321,United Kingdom,188,University of St Andrews,28,189,308,145,218,45.89,309,56.14645,-3.92436
95,130,101,United Kingdom,133,University of Southampton,11,334,115,329,218,48.77,148,31.2712,-89.32755
209,147,136,United Kingdom,137,University of Sheffield,14,179,129,142,196,48.07,173,50.93543,-1.39616
63,361,182,United Kingdom,347,University of Reading,24,666,400,258,218,46.4,263,53.36895,-1.41933
567,540,234,United Kingdom,719,University of Portsmouth,45,765,768,367,218,44.52,597,29.72615,-95.34557
13,9,7,United Kingdom,12,University of Oxford,2,15,7,7,10,96.46,5,56.14645,-3.92436
