Alumni Employment,Broad Impact,Citations,Country,Influence,institution,National Rank,Patents,Publications,Quality Of Education,Quality Of Faculty,Score,world_rank,Latitude (generated),Longitude (generated)
567,341,368,USA,418,Georgia Regents University,141,481,482,367,218,45.09,424,40.0792,-98.8164
60,106,78,USA,152,Georgia Institute of Technology,48,36,107,135,218,52.08,80,40.0792,-98.8164
34,204,321,USA,321,Georgetown University,59,122,298,159,218,49.92,113,40.0792,-98.8164
56,235,264,USA,227,George Washington University,87,326,301,192,218,47.46,202,40.0792,-98.8164
567,388,264,USA,371,George Mason University,140,526,450,367,98,45.13,414,40.0792,-98.8164
334,225,136,USA,184,Florida State University,96,411,200,367,218,46.53,252,40.0792,-98.8164
567,540,428,USA,508,Florida International University,179,585,496,367,218,44.5,605,40.0792,-98.8164
567,770,368,USA,793,Florida Institute of Technology,214,871,973,367,218,44.21,823,40.0792,-98.8164
567,796,812,USA,741,Florida Atlantic University,221,714,855,367,218,44.17,856,40.0792,-98.8164
146,41,93,USA,60,Emory University,51,55,67,367,116,51.85,84,40.0792,-98.8164
394,732,812,USA,685,East Carolina University,207,639,699,367,218,44.28,762,40.0792,-98.8164
31,16,15,USA,23,Duke University,20,33,19,74,56,61.55,28,40.0792,-98.8164
233,273,287,USA,338,Drexel University,99,91,362,367,218,46.43,258,40.0792,-98.8164
19,154,136,USA,167,Dartmouth College,28,63,246,40,218,56.35,44,40.0792,-98.8164
567,402,368,USA,724,Creighton University,159,615,824,367,218,44.75,508,40.0792,-98.8164
18,22,25,USA,15,Cornell University,8,11,24,12,14,86.79,10,40.0792,-98.8164
6,12,11,USA,13,Columbia University,4,4,13,13,9,96.14,6,40.0792,-98.8164
493,231,234,USA,203,Colorado State University - Fort Collins,104,257,244,211,148,46.32,271,40.0792,-98.8164
81,565,321,USA,601,Colorado School of Mines,130,690,668,367,218,45.39,365,40.0792,-98.8164
85,511,321,USA,459,College of William and Mary,127,809,611,367,218,45.42,360,40.0792,-98.8164
535,396,645,USA,497,Clemson University,155,510,433,367,218,44.83,483,40.0792,-98.8164
390,809,812,USA,974,Clarkson University,218,685,981,367,218,44.19,835,40.0792,-98.8164
187,590,511,USA,422,City College of New York,111,358,680,31,218,46.12,289,40.0792,-98.8164
215,74,59,USA,106,Case Western Reserve University,57,111,137,50,195,50.28,105,40.0792,-98.8164
160,150,78,USA,225,Carnegie Mellon University,39,165,211,25,23,54,61,40.0792,-98.8164
328,25,19,USA,9,California Institute of Technology,10,13,53,6,7,84.4,12,40.0792,-98.8164
43,99,76,USA,67,Brown University,50,200,121,64,73,52.01,83,40.0792,-98.8164
361,424,287,USA,424,Brigham Young University,137,134,498,298,218,45.15,403,40.0792,-98.8164
342,330,428,USA,195,Brandeis University,107,249,549,51,78,46.29,274,40.0792,-98.8164
373,781,645,USA,705,Bowling Green State University,213,824,910,367,218,44.23,809,40.0792,-98.8164
54,34,37,USA,45,Boston University,41,135,60,303,83,53.43,66,40.0792,-98.8164
97,402,197,USA,363,Boston College,120,386,557,367,218,45.65,326,40.0792,-98.8164
263,671,812,USA,593,Binghamton University,188,853,710,367,218,44.43,647,40.0792,-98.8164
293,540,321,USA,681,Baylor University,172,630,682,367,218,44.59,567,40.0792,-98.8164
567,44,101,USA,41,Baylor College of Medicine,62,199,113,367,218,49.7,121,40.0792,-98.8164
232,606,368,USA,569,Auburn University,167,425,472,367,218,44.63,549,40.0792,-98.8164
455,140,76,USA,85,Arizona State University,55,21,143,367,66,51.13,97,40.0792,-98.8164
567,579,645,USA,771,Albany Medical College,189,720,893,171,218,44.43,650,40.0792,-98.8164
567,809,812,Uruguay,669,University of the Republic (Uruguay),66,871,814,367,218,44.16,867,-32.948,-56.249
567,300,161,United Kingdom,205,University of York,29,406,270,367,218,45.69,325,52.289,-1.259
444,308,161,United Kingdom,239,University of Warwick,27,234,205,210,116,46.05,293,52.289,-1.259
567,754,645,United Kingdom,927,"University of Wales, Trinity Saint David",62,871,1000,367,218,44.2,830,52.289,-1.259
567,732,321,United Kingdom,808,University of Ulster,50,240,747,367,218,44.38,683,52.289,-1.259
257,308,161,United Kingdom,250,University of Sussex,22,553,359,151,57,46.49,253,52.289,-1.259
295,549,428,United Kingdom,553,University of Surrey,39,300,419,217,218,44.7,525,52.289,-1.259
216,486,368,United Kingdom,467,University of Strathclyde,36,305,389,367,218,44.94,453,52.289,-1.259
357,754,812,United Kingdom,707,University of Stirling,58,871,772,367,218,44.26,784,52.289,-1.259
506,281,321,United Kingdom,188,University of St Andrews,28,189,308,145,218,45.89,309,52.289,-1.259
95,130,101,United Kingdom,133,University of Southampton,11,334,115,329,218,48.77,148,52.289,-1.259
209,147,136,United Kingdom,137,University of Sheffield,14,179,129,142,196,48.07,173,52.289,-1.259
63,361,182,United Kingdom,347,University of Reading,24,666,400,258,218,46.4,263,52.289,-1.259
567,540,234,United Kingdom,719,University of Portsmouth,45,765,768,367,218,44.52,597,52.289,-1.259
13,9,7,United Kingdom,12,University of Oxford,2,15,7,7,10,96.46,5,52.289,-1.259
109,140,146,United Kingdom,176,University of Nottingham,10,138,116,131,84,49.02,140,52.289,-1.259
92,53,29,United Kingdom,70,University of Manchester,6,142,43,99,72,53.38,67,52.289,-1.259
179,174,128,United Kingdom,172,University of Liverpool,15,377,154,176,207,47.49,199,52.289,-1.259
567,170,197,United Kingdom,139,University of Leicester,19,385,258,367,218,46.72,240,52.289,-1.259
157,150,136,United Kingdom,141,University of Leeds,13,265,133,62,218,48.41,161,52.289,-1.259
433,637,511,United Kingdom,458,University of Kent,51,861,625,367,218,44.37,692,52.289,-1.259
